,rain_mm,hour,exact_date,weather_type,temp_f
0,0.0,1,2015-08-14,Clear sky,61.5776
1,0.0,2,2015-08-14,Clear sky,60.857597
2,0.0,3,2015-08-14,Clear sky,60.4076
3,0.0,4,2015-08-14,Clear sky,60.0476
4,0.0,5,2015-08-14,Clear sky,59.7776
5,0.0,6,2015-08-14,Clear sky,59.237602
6,0.0,7,2015-08-14,Clear sky,59.237602
7,0.0,8,2015-08-14,Mainly clear,62.4776
8,0.0,9,2015-08-14,Clear sky,66.0776
9,0.0,10,2015-08-14,Clear sky,70.0376
10,0.0,11,2015-08-14,Clear sky,73.9976
11,0.0,12,2015-08-14,Clear sky,75.4376
12,0.0,13,2015-08-14,Clear sky,78.2276
13,0.0,14,2015-08-14,Clear sky,79.847595
14,0.0,15,2015-08-14,Clear sky,80.6576
15,0.0,16,2015-08-14,Clear sky,81.01759
16,0.0,17,2015-08-14,Clear sky,80.6576
17,0.0,18,2015-08-14,Clear sky,78.9476
18,0.0,19,2015-08-14,Clear sky,75.9776
19,0.0,20,2015-08-14,Clear sky,72.2876
20,0.0,21,2015-08-14,Clear sky,69.6776
21,0.0,22,2015-08-14,Mainly clear,68.0576
22,0.0,23,2015-08-14,Mainly clear,66.4376
23,0.0,0,2015-08-15,Clear sky,64.7276
24,0.0,1,2015-08-15,Clear sky,63.467598
25,0.0,2,2015-08-15,Clear sky,62.2076
26,0.0,3,2015-08-15,Partly cloudy,60.7676
27,0.0,4,2015-08-15,Partly cloudy,59.507603
28,0.0,5,2015-08-15,Overcast,59.5976
29,0.0,6,2015-08-15,Overcast,59.8676
30,0.0,7,2015-08-15,Overcast,60.0476
31,0.0,8,2015-08-15,Overcast,62.567596
32,0.0,9,2015-08-15,Overcast,70.3976
33,0.0,10,2015-08-15,Overcast,78.76759
34,0.0,11,2015-08-15,Overcast,84.79759
35,0.0,12,2015-08-15,Overcast,86.957596
36,0.0,13,2015-08-15,Overcast,90.4676
37,0.0,14,2015-08-15,Overcast,92.8976
38,0.0,15,2015-08-15,Overcast,94.247604
39,0.0,16,2015-08-15,Mainly clear,93.887596
40,0.0,17,2015-08-15,Clear sky,92.35759
41,0.0,18,2015-08-15,Clear sky,89.29759
42,0.0,19,2015-08-15,Mainly clear,84.887596
43,0.0,20,2015-08-15,Mainly clear,80.1176
44,0.0,21,2015-08-15,Overcast,76.6076
45,0.0,22,2015-08-15,Overcast,73.9076
46,0.0,23,2015-08-15,Overcast,71.3876
47,0.0,0,2015-08-16,Overcast,70.667595
48,0.0,1,2015-08-16,Overcast,68.7776
49,0.0,2,2015-08-16,Overcast,67.0676
50,0.0,3,2015-08-16,Overcast,65.6276
51,0.0,4,2015-08-16,Overcast,64.2776
52,0.0,5,2015-08-16,Overcast,63.107597
53,0.0,6,2015-08-16,Overcast,62.0276
54,0.0,7,2015-08-16,Overcast,61.5776
55,0.0,8,2015-08-16,Overcast,65.26759
56,0.0,9,2015-08-16,Partly cloudy,71.5676
57,0.0,10,2015-08-16,Overcast,79.4876
58,0.0,11,2015-08-16,Overcast,86.6876
59,0.0,12,2015-08-16,Overcast,90.1976
60,0.0,13,2015-08-16,Partly cloudy,93.9776
61,0.0,14,2015-08-16,Partly cloudy,96.40759
62,0.0,15,2015-08-16,Overcast,97.487595
63,0.0,16,2015-08-16,Overcast,96.85759
64,0.0,17,2015-08-16,Overcast,94.7876
65,0.0,18,2015-08-16,Overcast,91.2776
66,0.0,19,2015-08-16,Overcast,86.597595
67,0.0,20,2015-08-16,Overcast,82.0076
68,0.0,21,2015-08-16,Partly cloudy,78.4976
69,0.0,22,2015-08-16,Mainly clear,75.707596
70,0.0,23,2015-08-16,Clear sky,72.7376
71,0.0,0,2015-08-17,Clear sky,71.3876
72,0.0,1,2015-08-17,Clear sky,69.0476
73,0.0,2,2015-08-17,Mainly clear,66.8876
74,0.0,3,2015-08-17,Clear sky,64.9976
75,0.0,4,2015-08-17,Clear sky,63.3776
76,0.0,5,2015-08-17,Partly cloudy,61.9376
77,0.0,6,2015-08-17,Partly cloudy,60.857597
78,0.0,7,2015-08-17,Partly cloudy,59.6876
79,0.0,8,2015-08-17,Partly cloudy,63.5576
80,0.0,9,2015-08-17,Mainly clear,69.2276
81,0.0,10,2015-08-17,Mainly clear,76.1576
82,0.0,11,2015-08-17,Mainly clear,82.5476
83,0.0,12,2015-08-17,Clear sky,83.1776
84,0.0,13,2015-08-17,Clear sky,87.3176
85,0.0,14,2015-08-17,Clear sky,90.737595
86,0.0,15,2015-08-17,Clear sky,91.7276
87,0.0,16,2015-08-17,Mainly clear,90.4676
88,0.0,17,2015-08-17,Mainly clear,87.04759
89,0.0,18,2015-08-17,Clear sky,82.097595
90,0.0,19,2015-08-17,Clear sky,76.6976
91,0.0,20,2015-08-17,Clear sky,71.1176
92,0.0,21,2015-08-17,Clear sky,67.3376
93,0.0,22,2015-08-17,Clear sky,65.0876
94,0.0,23,2015-08-17,Clear sky,63.467598
95,0.0,0,2015-08-18,Clear sky,61.217598
96,0.0,1,2015-08-18,Clear sky,60.0476
97,0.0,2,2015-08-18,Clear sky,59.507603
98,0.0,3,2015-08-18,Mainly clear,59.1476
99,0.0,4,2015-08-18,Mainly clear,58.4276
100,0.0,5,2015-08-18,Mainly clear,57.8876
101,0.0,6,2015-08-18,Mainly clear,57.4376
102,0.0,7,2015-08-18,Mainly clear,57.7976
103,0.0,8,2015-08-18,Mainly clear,60.2276
104,0.0,9,2015-08-18,Clear sky,63.5576
105,0.0,10,2015-08-18,Clear sky,67.8776
106,0.0,11,2015-08-18,Mainly clear,72.2876
107,0.0,12,2015-08-18,Clear sky,71.5676
108,0.0,13,2015-08-18,Clear sky,75.167595
109,0.0,14,2015-08-18,Clear sky,78.2276
110,0.0,15,2015-08-18,Mainly clear,79.847595
111,0.0,16,2015-08-18,Mainly clear,79.9376
112,0.0,17,2015-08-18,Mainly clear,78.2276
113,0.0,18,2015-08-18,Clear sky,74.3576
114,0.0,19,2015-08-18,Mainly clear,69.4976
115,0.0,20,2015-08-18,Mainly clear,64.5476
116,0.0,21,2015-08-18,Mainly clear,61.3076
117,0.0,22,2015-08-18,Mainly clear,59.7776
118,0.0,23,2015-08-18,Mainly clear,59.1476
119,0.0,0,2015-08-19,Partly cloudy,56.807602
120,0.0,1,2015-08-19,Partly cloudy,56.3576
